music-box-top-prototypes.webp,My prototypes of the top part
cad-sketch.webp,CAD sketch
cad-sketch-3d.webp,CAD sketch with thickness
cad-isometric.webp,Final isometric view of the music box
adobe-illustrator.webp,Imported the sketch into AI for cutting out and inserting graphics
000000.webp,I do not have the final video of the music box because my dad has it currently, so because we are moving, I'm staying at my Grandma's house and my dad is in a hotel where he has the music box. I'll insert a video of it as soon as possible.
