wiring.webp,Our cable management and control hub
top-claw.webp,The manipulator we used for picking up the block
cad-ball-manipulator.webp,Our CAD for the dual purpose ball manipulator and block manipulator
sensors-bottom-claw.webp,Our sensors for autonomous and the bottom claw for manipulating the ball
teleop.webp,Our TeleOp code
autonomous.webp,Our autonomous code
